User,Average Similarity
냥순이52,0.90148336
율히,0.9012864
bym****,0.90091735
jsy****,0.9006792
AC65,0.9006322
gyw****,0.90062976
supang911,0.9001999
모두그자리,0.90007794
울빵86,0.90001935
epd****,0.8997634
hjp0610,0.89974993
썬40,0.89969444
kb****,0.8993335
강단,0.8990324
Won1111,0.89852566
연우아빠65,0.89827675
howru230,0.89742696
mhm****,0.8974142
rho****,0.89739573
woozoocat,0.89721537
뇽뇽스944,0.8971047
미니지56,0.8970996
룰루랄라JS,0.89699507
자유공간38,0.8969783
jin****,0.89675266
hye57,0.8967226
지뚜짓뚜,0.8964245
jn****,0.89639163
빼쿄,0.8963809
앵순히,0.8961617
아리링95,0.89599806
달빛주스59,0.89587927
dwd****,0.89581436
나나1864,0.8957863
찐맛집다내꺼,0.89562035
림걸즈,0.895519
김말랑몰랑,0.895506
정혀니69,0.8954603
uneex1209,0.8950833
아이리스9411,0.89504695
줌284,0.89489627
짱아6067,0.8945345
Eunhyekieri,0.89435923
다이제13,0.89423156
강꿍실2,0.8941542
0025,0.89414257
pdolee,0.89406556
모모의 즐거운하루,0.8940348
aabc11z,0.89395505
a_c****,0.89394045
비오리짝꿍,0.89364153
Sskah,0.8935553
열달이,0.89351654
정선우35,0.8935045
류경ㅇ,0.8934879
민자우기,0.89341414
쟁이네1,0.893326
Wisdom614,0.8933128
쿄레,0.8932022
이슬맺힌백일홍씨,0.8931948
레오엄마00,0.8931358
rud****,0.89308465
찐맛집탐방가,0.8930617
BI지니,0.8930611
h3hdeb54i3be3ib,0.89274883
O248,0.8926456
보라공주0609,0.8925613
bab****,0.8923923
배불배불,0.89228725
행복나무751,0.89212984
보라앙마,0.8921082
sha****,0.8919524
다겸쓰,0.89186877
sr9****,0.89176935
세모나네,0.89160985
유후48,0.8915734
라온8994,0.8914148
juh****,0.89140177
열심맨,0.89135414
쟌7,0.8912756
Mooni95,0.8909117
박주하16,0.89063257
빠빠삐오,0.89061487
복숭아아앙,0.89049417
릿지44,0.8904407
뚱땅박하,0.89030313
ddppdp,0.89023316
VIVA Min,0.89021665
별의흐름,0.8900056
투투2236,0.8898972
지니36951,0.8898127
채히65,0.8898
곰쿡,0.8897847
원래정수정은천재라서53,0.88971025
초대리,0.88961303
도문대작,0.8895909
요뎅27,0.88948977
하니별ol,0.88942885
shsh4886,0.8893473
mys****,0.8893409
리히25,0.8891863
하루살EAT,0.88912416
covykim,0.8891238
좋으면리뷰하는,0.8891172
나야나6114,0.88903445
크누트47,0.8889664
흰둥이흰둥이이,0.88889
팅폴,0.8888631
mom****,0.88883597
kim023,0.8888252
소울메이트54,0.8888137
유민철8282,0.88879985
pupche,0.88878554
YHJY,0.8887701
gibunppa,0.8885676
TONY89,0.88846743
chh****,0.8884347
로이이2,0.88833547
궁시렁21,0.88814676
hwk86,0.8881113
타앗,0.8880908
훈민쓰,0.8880379
까을잉,0.88785255
주어니57,0.8878484
jjm****,0.8877598
Claire4817,0.8876335
메롱9740,0.8874034
삐약3930,0.8873353
siwon7942,0.8873157
xov****,0.8872241
emi****,0.8871675
